Code CATMINAT;Syntaxon
02/3.0.1;Salicornietalia procumbentis var. strictae Tüxen in Tüxen & Oberdorfer ex Géhu & Géhu-Franck 1984
02/3.0.1.0.1;Salicornion procumbentis coll. (Tüxen 1974) Géhu & Franck 1982
02/3.0.1.0.1;Salicornion procumbentis coll. Géhu & Géhu-Franck 1984
02/3.0.1.0.1;Salicornion procumbentis coll. Géhu & Rivas-Martínez 1982
02/3.0.1.0.1;Salicornion procumbentis coll. Géhu & Rivas-Martínez 1982 ex Géhu & Géhu-Franck 1984
02/3.0.1.0.1;Salicornion procumbentis coll. Géhu & Rivas-Martínez 1982 ex Géhu in Bardat, Bioret, Botineau, Boullet, Delpech, Géhu, Haury, Lacoste, Rameau, Royer, Roux & Touffet 2004
02/3.0.1.0.1;Salicornion strictae Tüxen 1974 corr. Rivas-Martínez 1991
02/3.0.1.0.1;Salicornion strictae Braun-Blanquet 1933 em. Tüxen 1950
02/3.0.1.0.1;Salicornion strictae Braun-Blanquet 1933 em. Tüxen 1954
02/3.0.1.0.1;Salicornion strictae Tüxen 1974
02/3.0.1.0.1;Salicornion strictae Tüxen in Tüxen & Oberdorfer 1958 
02/3.0.1.0.1/01;Salicornietum strictae (Géhu & Franck 1982) Géhu & Géhu-Franck 1984
02/3.0.1.0.1/01;Salicornietum strictae Christiansen 1927 ex Tüxen 1974
02/3.0.1.0.1/01;Salicornietum strictae J.-M. & J. Géhu (1981) 1982 apud Géhu & Géhu-Franck 1984
02/3.0.1.0.1/01;Salicornietum strictae Braun-Blanquet 1933 em. Tüxen 1954
02/3.0.1.0.1/01;Salicornietum strictae J.-M. & J. Géhu 1980
02/3.0.1.0.1/01;Salicornietum strictae Knauer 1952
02/3.0.1.0.1/02;Salicornietum procumbentis (Géhu & Franck 1982) Géhu & Géhu-Franck 1984
02/3.0.1.0.1/02;Salicornietum procumbentis J.M & J. Géhu (1981) 1982 apud Géhu & Géhu-Franck 1984
02/3.0.1.0.1/02;Salicornietum procumbentis J.M & J. Géhu 1980
02/3.0.1.0.1/02;Salicornietum strictae Knauer 1952
